VOTI DI ALGORITMI - appello del 14 febbraio 2018

matricola		calls		rightwards	collimator	totale		voto		
VR389983		0.0		0.0		0.0		0.0		-	
VR395274		0.0		0.0		0.0		0.0		-	
VR400386		0.0		0.0		0.0		0.0		-	
VR403884		0.0		0.0		0.0		0.0		-	
VR406832		0.0		31.0		0.0		31.0		18	
VR406840		0.0		0.0		0.0		0.0		-	
VR406936		0.0		0.0		0.0		0.0		-	
VR407143		0.0		0.0		0.0		0.0		-	
VR407230		0.0		0.0		0.0		0.0		-	
VR407615		40.0		100.0		0.0		140.0		27	
VR407906		40.0		100.0		0.0		140.0		27	
VR408073		0.0		0.0		0.0		0.0		-	
VR408207		0.0		100.0		50.0		150.0		28	
VR408239		20.0		100.0		0.0		120.0		25	
VR408256		100.0		100.0		0.0		200.0		30L	
VR409182		0.0		100.0		30.0		130.0		26	
VR409637		0.0		0.0		0.0		0.0		-	
VR411086		0.0		100.0		0.0		100.0		23	
VR411577		0.0		100.0		0.0		100.0		23	
VR412443		0.0		0.0		0.0		0.0		-	
VR413467		20.0		19.0		0.0		39.0		18	
VR413632		0.0		0.0		0.0		0.0		-	
VR413877		0.0		0.0		0.0		0.0		-	
VR414626		100.0		0.0		0.0		100.0		23	
VR414691		100.0		100.0		0.0		200.0		30L	
