matricola,count_poldo,tower_of_hanoi_pancakes,tecla,totale,voto
VR393905,0.0,0.0,0.0,0.0,-
VR400386,70.0,0.0,0.0,70.0,23
VR406840,40.0,0.0,30.0,70.0,23
VR407230,0.0,0.0,0.0,0.0,-
VR407837,0.0,0.0,0.0,0.0,-
VR407847,50.0,0.0,80.0,130.0,27
VR408239,20.0,0.0,30.0,50.0,21
VR409637,0.0,0.0,0.0,0.0,-
VR410075,50.0,0.0,30.0,80.0,24
VR411086,0.0,0.0,30.0,30.0,19
VR411577,0.0,0.0,0.0,0.0,-
VR412443,70.0,50.0,100.0,220.0,30L
VR413467,50.0,0.0,30.0,80.0,24
VR413877,0.0,0.0,10.0,10.0,18
VR414230,0.0,0.0,0.0,0.0,-
VR414626,0.0,0.0,0.0,0.0,-
VR417455,70.0,50.0,100.0,220.0,30L
VR417470,70.0,50.0,100.0,220.0,30L
VR417714,20.0,0.0,0.0,20.0,18
VR418112,40.0,0.0,100.0,140.0,28
VR418380,0.0,0.0,0.0,0.0,-
VR418467,40.0,0.0,100.0,140.0,28
VR418513,40.0,0.0,100.0,140.0,28
VR418645,40.0,0.0,100.0,140.0,28
VR418768,50.0,0.0,80.0,130.0,27
VR419552,70.0,50.0,100.0,220.0,30L
VR419702,40.0,0.0,30.0,70.0,23
VR419703,40.0,0.0,100.0,140.0,28
VR420558,40.0,50.0,80.0,170.0,30
VR420818,70.0,50.0,100.0,220.0,30L
VR421197,20.0,0.0,100.0,120.0,26
VR422016,70.0,50.0,100.0,220.0,30L
VR422017,70.0,50.0,100.0,220.0,30L
VR422018,70.0,50.0,100.0,220.0,30L
VR422410,20.0,0.0,0.0,20.0,18
VR423614,40.0,0.0,100.0,140.0,28
VR423791,40.0,0.0,0.0,40.0,20
VR423950,40.0,0.0,100.0,140.0,28
VR424222,60.0,0.0,0.0,60.0,22
VR424301,70.0,50.0,80.0,200.0,30L
VR424505,20.0,0.0,0.0,20.0,18
VR424649,50.0,0.0,0.0,50.0,21
VR424867,20.0,0.0,100.0,120.0,26
VR425018,70.0,20.0,80.0,170.0,30
VR425207,0.0,0.0,0.0,0.0,-
VR425328,40.0,0.0,0.0,40.0,20
VR425437,70.0,100.0,80.0,250.0,30L
