matricola,online_budget,online_budget_opt,tree_transcode_disc,TOTALE,voto
VR400386,0.0,0.0,0.0,0.0,-
VR417714,0.0,0.0,0.0,0.0,-
VR418781,67.0,0.0,0.0,67.0,23
VR420921,67.0,10.0,0.0,77.0,24
VR421455,6.0,0.0,20.0,26.0,19
VR423929,67.0,0.0,0.0,67.0,23
VR424289,0.0,0.0,0.0,0.0,-
VR424402,67.0,0.0,0.0,67.0,23
VR424611,0.0,0.0,0.0,0.0,-
VR424649,25.0,10.0,60.0,95.0,25
VR425207,10.0,0.0,40.0,50.0,22
VR425328,67.0,0.0,0.0,67.0,23
VR432075,0.0,0.0,0.0,0.0,-
VR432548,0.0,0.0,0.0,0.0,-
VR433357,67.0,0.0,50.0,117.0,27
VR433534,25.0,0.0,90.0,115.0,27
VR434292,67.0,0.0,0.0,67.0,23
VR434310,6.0,0.0,0.0,6.0,-
VR434403,67.0,100.0,0.0,167.0,30
VR435956,67.0,60.0,0.0,127.0,28
VR436720,1.0,0.0,0.0,1.0,-
VR436747,6.0,0.0,0.0,6.0,-
VR436780,100.0,100.0,100.0,300.0,30L
VR436823,0.0,0.0,10.0,10.0,18
VR436944,67.0,12.0,90.0,169.0,30
VR437056,100.0,0.0,80.0,180.0,30
VR437058,1.0,75.0,40.0,116.0,27
VR438055,0.0,0.0,0.0,0.0,-
VR438310,6.0,0.0,100.0,106.0,26
VR439205,100.0,0.0,100.0,200.0,30
VR439207,100.0,50.0,50.0,200.0,30
VR439211,0.0,0.0,0.0,0.0,-
VR439212,0.0,0.0,40.0,40.0,21
VR439213,0.0,0.0,0.0,0.0,-
VR439215,0.0,0.0,0.0,0.0,-
VR439218,67.0,10.0,90.0,167.0,30
VR439237,6.0,0.0,50.0,56.0,22
VR439238,15.0,10.0,10.0,35.0,20
VR439240,100.0,50.0,50.0,200.0,30
VR439254,0.0,0.0,0.0,0.0,-
VR439256,67.0,12.0,0.0,79.0,24
VR439264,0.0,0.0,0.0,0.0,-
VR439318,0.0,0.0,0.0,0.0,-
VR439325,0.0,0.0,0.0,0.0,-
VR439346,0.0,0.0,50.0,50.0,22
VR439370,100.0,75.0,80.0,255.0,30L
VR439483,67.0,0.0,40.0,107.0,26
VR439664,0.0,0.0,0.0,0.0,-
VR439666,0.0,0.0,0.0,0.0,-
VR439670,1.0,0.0,0.0,1.0,-
VR439699,67.0,0.0,0.0,67.0,23
VR439701,0.0,0.0,0.0,0.0,-
VR439834,0.0,0.0,0.0,0.0,-
VR439870,6.0,0.0,0.0,6.0,-
VR440462,10.0,0.0,50.0,60.0,22

map:

300.0,30L
255.0,30L
200.0,30
180.0,30
169.0,30
167.0,30
127.0,28
117.0,27
115.0,27
107.0,26
106.0,26
95.0,25
79.0,24
77.0,24
67.0,23
56.0,22
50.0,22
40.0,21
35.0,20
26.0,19
10.0,18
6.0,-
1.0,-
