Appello di Algoritmi del 22 Giugno 2021

matricola,hanoi_with_toddler,bridges_and_cutnodes,TOTALE,
VR439215_id718vyg,0.0,0.0,0.0,
VR445195_id374inx,0.0,0.0,0.0,
VR445512_id287ipf,0.0,30.0,30.0,
VR446095_id992czx,0.0,0.0,0.0,
VR447268_id713ast,30.0,52.0,82.0,
VR447271_id109uyw,0.0,0.0,0.0,
VR447848_id277jjm,30.0,0.0,30.0,
VR450538_id965iel,0.0,30.0,30.0,
VR450855_id649cns,0.0,0.0,0.0,
VR450864_id939fgd,30.0,0.0,30.0,
VR450973_id822wow,0.0,0.0,0.0,
VR451059_id761ugc,0.0,0.0,0.0,
VR451169_id909aos,30.0,0.0,30.0,
VR457796_id572ecb,30.0,0.0,30.0,
VR460384_id602ngu,100.0,102.0,202.0,
VR463652_id646onp,30.0,30.0,60.0,
VR464270_id665dlc,30.0,0.0,30.0,
VR464574_id364gis,30.0,0.0,30.0,
VR466426_id186pbr,0.0,0.0,0.0,
