Appello di Algoritmi del 21 Luglio 2021

matricola,poldo_game,hanoi_split,incr_subseq_with_drops,TOTALE,
VR439215_id718vyg,10.0,0.0,0.0,10.0,
VR439637_id088960,0.0,0.0,0.0,0.0,
VR439870_id132bxn,0.0,0.0,0.0,0.0,
VR445303_id795xfv,0.0,0.0,0.0,0.0,
VR445458_id143leb,0.0,0.0,0.0,0.0,
VR446688_id836pkn,0.0,0.0,0.0,0.0,
VR447848_id277jjm,0.0,0.0,0.0,0.0,
VR450538_id965iel,0.0,82.0,0.0,82.0,
VR450864_id939fgd,10.0,100.0,0.0,110.0,
VR452311_id060khp,0.0,0.0,0.0,0.0,
VR457915_id668iuy,80.0,0.0,0.0,80.0,
VR458470_id680cdp,10.0,0.0,0.0,10.0,
VR458629_id594rik,0.0,82.0,0.0,82.0,
VR461066_id352mfu,0.0,0.0,0.0,0.0,
VR461133_id497dvq,80.0,0.0,0.0,80.0,
VR462541_id086uaa,0.0,0.0,0.0,0.0,
VR463652_id646onp,0.0,0.0,0.0,0.0,
VR464472_id344led,0.0,0.0,0.0,0.0,
VR464574_id364gis,0.0,82.0,0.0,82.0,
VR466426_id186pbr,10.0,0.0,0.0,10.0,
