VOTI DI ALGORITMI - appello del 21 Luglio 2021

+-------------------+------------+-------------+------------------------+--------+---------------------------------------------------------------------------------------------------------------------------+
|     matricola     | poldo_game | hanoi_split | incr_subseq_with_drops | TOTALE |                                                            voto                                                           |
+-------------------+------------+-------------+------------------------+--------+---------------------------------------------------------------------------------------------------------------------------+
| VR439215_id718vyg |    10.0    |     0.0     |          0.0           |  10.0  |                                                    18 sotto condizione                                                    |
| VR439637_id088960 |    0.0     |     0.0     |          0.0           |  0.0   | niente voto di partenza ma come tutti gli altri puoi costituire un tuo voto contribuendo al corso con progetto in TALight |
| VR439870_id132bxn |    0.0     |     0.0     |          0.0           |  0.0   | niente voto di partenza ma come tutti gli altri puoi costituire un tuo voto contribuendo al corso con progetto in TALight |
| VR445303_id795xfv |    0.0     |     0.0     |          0.0           |  0.0   | niente voto di partenza ma come tutti gli altri puoi costituire un tuo voto contribuendo al corso con progetto in TALight |
| VR445458_id143leb |    0.0     |     0.0     |          0.0           |  0.0   | niente voto di partenza ma come tutti gli altri puoi costituire un tuo voto contribuendo al corso con progetto in TALight |
| VR446688_id836pkn |    0.0     |     0.0     |          0.0           |  0.0   | niente voto di partenza ma come tutti gli altri puoi costituire un tuo voto contribuendo al corso con progetto in TALight |
| VR447848_id277jjm |    0.0     |     0.0     |          0.0           |  0.0   | niente voto di partenza ma come tutti gli altri puoi costituire un tuo voto contribuendo al corso con progetto in TALight |
| VR450538_id965iel |    0.0     |     82.0    |          0.0           |  82.0  |                                               24 oppure 25 sotto condizione                                               |
| VR450864_id939fgd |    10.0    |    100.0    |          0.0           | 110.0  |                                               27 oppure 28 sotto condizione                                               |
| VR452311_id060khp |    0.0     |     0.0     |          0.0           |  0.0   | niente voto di partenza ma come tutti gli altri puoi costituire un tuo voto contribuendo al corso con progetto in TALight |
| VR457915_id668iuy |    80.0    |     0.0     |          0.0           |  80.0  |                                               24 oppure 25 sotto condizione                                               |
| VR458470_id680cdp |    10.0    |     0.0     |          0.0           |  10.0  |                                                    18 sotto condizione                                                    |
| VR458629_id594rik |    0.0     |     82.0    |          0.0           |  82.0  |                                               24 oppure 25 sotto condizione                                               |
| VR461066_id352mfu |    0.0     |     0.0     |          0.0           |  0.0   | niente voto di partenza ma come tutti gli altri puoi costituire un tuo voto contribuendo al corso con progetto in TALight |
| VR461133_id497dvq |    80.0    |     0.0     |          0.0           |  80.0  |                                               24 oppure 25 sotto condizione                                               |
| VR462541_id086uaa |    0.0     |     0.0     |          0.0           |  0.0   | niente voto di partenza ma come tutti gli altri puoi costituire un tuo voto contribuendo al corso con progetto in TALight |
| VR463652_id646onp |    0.0     |     0.0     |          0.0           |  0.0   | niente voto di partenza ma come tutti gli altri puoi costituire un tuo voto contribuendo al corso con progetto in TALight |
| VR464472_id344led |    0.0     |     0.0     |          0.0           |  0.0   | niente voto di partenza ma come tutti gli altri puoi costituire un tuo voto contribuendo al corso con progetto in TALight |
| VR464574_id364gis |    0.0     |     82.0    |          0.0           |  82.0  |                                               24 oppure 25 sotto condizione                                               |
| VR466426_id186pbr |    10.0    |     0.0     |          0.0           |  10.0  |                                                    18 sotto condizione                                                    |
+-------------------+------------+-------------+------------------------+--------+---------------------------------------------------------------------------------------------------------------------------+
