Appello di Algoritmi del 29 Giugno 2022

matricola,A_seq,k_up_1_down_seq,TOTALE,
VR445195,23.0,0.0,23.0,
VR450781,23.0,58.0,81.0,
VR456924,43.0,27.0,70.0,
VR464922,0.0,0.0,0.0,
VR471628,0.0,0.0,0.0,
VR471688,0.0,0.0,0.0,
VR472006,48.0,59.0,107.0,
VR472021,23.0,14.0,37.0,
VR472058,48.0,14.0,62.0,
VR472108,0.0,0.0,0.0,
VR472347,0.0,0.0,0.0,
VR472361,43.0,71.0,114.0,
VR472500,0.0,0.0,0.0,
VR473614,48.0,0.0,48.0,
VR473639,23.0,14.0,37.0,
VR473845,0.0,0.0,0.0,
VR474022,0.0,0.0,0.0,
VR474275,0.0,58.0,58.0,
VR474528,48.0,14.0,62.0,
VR474539,13.0,0.0,13.0,
VR474565,0.0,0.0,0.0,
VR474699,0.0,0.0,0.0,
VR474723,48.0,0.0,48.0,
VR475103,48.0,0.0,48.0,
VR475440,0.0,0.0,0.0,
VR476706,0.0,0.0,0.0,
VR477156,13.0,0.0,13.0,
VR477235,33.0,84.0,117.0,
VR477605,0.0,0.0,0.0,
VR481889,13.0,0.0,13.0,
