Appello di Algoritmi del 26 Luglio 2022

matricola,incr_subseq_with_drops,bridges_and_cutnodes,TOTALE,
VR445195,40.0,0.0,40.0,
VR457796,0.0,0.0,0.0,
VR459645,0.0,0.0,0.0,
VR464270,0.0,0.0,0.0,
VR464917,0.0,0.0,0.0,
VR465826,0.0,0.0,0.0,
VR471688,0.0,18.0,18.0,
VR472021,100.0,65.0,165.0,
VR472058,10.0,31.0,41.0,
VR472108,10.0,0.0,10.0,
VR472347,50.0,100.0,150.0,
VR472500,0.0,0.0,0.0,
VR473614,10.0,0.0,10.0,
VR473639,100.0,74.0,174.0,
VR473845,100.0,0.0,100.0,
VR473852,0.0,0.0,0.0,
VR474098,0.0,0.0,0.0,
VR474275,100.0,65.0,165.0,
VR474539,10.0,0.0,10.0,
VR474692,0.0,15.0,15.0,
VR474699,0.0,0.0,0.0,
VR474721,0.0,0.0,0.0,
VR474722,0.0,15.0,15.0,
VR474723,40.0,15.0,55.0,
VR475440,0.0,0.0,0.0,
VR476576,100.0,83.0,183.0,
VR476706,0.0,23.0,23.0,
VR477156,60.0,65.0,125.0,
VR477605,0.0,0.0,0.0,
VR478050,0.0,0.0,0.0,
VR479912,20.0,0.0,20.0,
VR481889,50.0,0.0,50.0,
VR482140,0.0,0.0,0.0,
