VOTI DI ALGORITMI - appello del 20 Settembre 2022

matricola,esame_linear_diff_constraints,esame_without_grader,esame_convoglio,TOTALE,voto
VR419626,0.0,0.0,0.0,0.0,nessun voto per questo appello
VR447848,0.0,0.0,0.0,0.0,nessun voto per questo appello
VR457249,0.0,0.0,0.0,0.0,nessun voto per questo appello
VR457796,0.0,0.0,0.0,0.0,nessun voto per questo appello
VR458781,0.0,0.0,0.0,0.0,nessun voto per questo appello
VR459645,0.0,0.0,0.0,0.0,nessun voto per questo appello
VR461133,0.0,0.0,0.0,0.0,nessun voto per questo appello
VR464270,0.0,0.0,0.0,0.0,nessun voto per questo appello
VR464800,0.0,0.0,0.0,0.0,nessun voto per questo appello
VR464922,0.0,0.0,0.0,0.0,nessun voto per questo appello
VR466426,0.0,0.0,0.0,0.0,nessun voto per questo appello
VR471628,4.0,0.0,60.0,64.0,24
VR471688,0.0,0.0,15.0,15.0,18
VR472108,0.0,0.0,15.0,15.0,18
VR472347,0.0,0.0,0.0,0.0,nessun voto per questo appello
VR472500,0.0,4.0,15.0,19.0,19
VR474022,4.0,0.0,0.0,4.0,nessun voto per questo appello
VR474539,64.0,0.0,0.0,64.0,24
VR474565,0.0,0.0,0.0,0.0,nessun voto per questo appello
VR474692,0.0,0.0,0.0,0.0,nessun voto per questo appello
VR474699,0.0,0.0,15.0,15.0,18
VR474721,0.0,0.0,15.0,15.0,18
VR474722,0.0,48.0,15.0,63.0,24
VR474723,4.0,0.0,0.0,4.0,nessun voto per questo appello
VR475440,4.0,0.0,100.0,104.0,29
VR476706,0.0,0.0,0.0,0.0,nessun voto per questo appello
VR477605,0.0,0.0,0.0,0.0,nessun voto per questo appello
VR478050,0.0,0.0,0.0,0.0,nessun voto per questo appello
VR479912,0.0,0.0,0.0,0.0,nessun voto per questo appello
VR481889,0.0,64.0,15.0,79.0,26
VR482140,0.0,0.0,0.0,0.0,nessun voto per questo appello

# Spiegazioni:

## Come posso migliorare il mio voto

I voti degli appelli del modulo di algoritmi non si cancellano mai e al momento di chiedere la registrazione del voto mi indicherete l'appello dove il voto è maggiore. I voti possono essere prodotti sia tramite partecipazione ad appelli che tramite la conduzione di progetti concordati volti alla produzione di materiali e strumenti utili al corso o ad un investigazione anche scientifica (i progetti potranno ampliarsi anche in stage e/o tesi).

## Prepararsi al prossimo appello:

In questa cartella del portafoglioVoti trovate i codici da voi sottomessi durante l'esame e potete lavorarci ancora e sperimentarli sul contest algo-simula-prove. Trovate la VM algo-simula-prove allo URL:
   https://rizzi.olinfo.it/algo-simula-prove

Per accedere usa le credenziali:
    username=id??????
    pwd=VR??????


### Progetti 

Potreste trovare interessante prendere parte a progetti dove predisporre problemi e materiali per le prossime edizioni del corso (se non già per quella corrente). L'idea per un proetto può venire anche da voi (anche meglio) ma deve trovare un senso (i progetti sono veri) e và comunque concordata.
Al momento ho bisogno di aiuto nel realizzare l'infrastruttura per gli esami di Ricerca Operativa come anche sul seguente progetto:

https://github.com/romeorizzi/TAlight

Credo possa essere divertente oltre che istruttivo guardare le cose dalla parte di chi progetta e realizza dei problemi didattici con questo nostro nuovo strumento.


## Come posso richiedere la registrazione di un voto

Per ora con una mail dove specificate la vostra matricola ed il voto che vi attendete e la sua composizione dai dati degli appelli ricompresi in portafoglio-voti, ma, come progetto attualmente disponibile, realizziamo un bot Telegram da collocare sul canale del corso e che vi assista nel momento della richiesta di registrazione di voto ma anche di controllo del vostro portafoglioVoti.

