+----------+----------+--------+---------+-------+--------------+----------+--------------+------+
| Student  | dijkstra | slalom | kendall | Total | voto_argento | voto_oro | voto_platino | voto |
+----------+----------+--------+---------+-------+--------------+----------+--------------+------+
| VR516307 |    66    |   78   |   106   |  250  |      33      |    33    |      15      |  33  |
| VR519027 |    66    |   78   |   106   |  250  |      33      |    33    |      15      |  33  |
| VR516349 |    66    |   77   |   106   |  249  |      33      |    33    |      15      |  33  |
| VR519407 |    66    |   76   |   106   |  248  |      33      |    33    |      15      |  33  |
| VR516306 |    66    |   79   |    68   |  213  |      33      |    22    |      0       |  33  |
| VR522244 |    66    |   78   |    68   |  212  |      33      |    22    |      0       |  33  |
| VR516333 |    66    |   78   |    68   |  212  |      33      |    22    |      0       |  33  |
| VR518747 |    66    |   75   |    68   |  209  |      33      |    21    |      0       |  33  |
| VR517045 |    66    |   72   |    68   |  206  |      33      |    10    |      0       |  33  |
| VR496684 |    52    |   45   |   106   |  203  |      33      |    24    |      15      |  33  |
| VR504242 |    66    |   6    |   106   |  178  |      29      |    26    |      15      |  31  |
| VR519443 |    66    |   77   |    30   |  173  |      24      |    22    |      0       |  30  |
| VR517644 |    66    |   0    |   106   |  172  |      29      |    26    |      15      |  30  |
| VR508570 |    66    |   0    |   106   |  172  |      29      |    26    |      15      |  30  |
| VR526625 |    66    |   0    |   106   |  172  |      29      |    26    |      15      |  30  |
| VR518695 |    48    |   0    |   106   |  154  |      27      |    24    |      15      |  27  |
| VR524824 |    32    |   16   |   106   |  154  |      24      |    16    |      15      |  27  |
| VR519412 |    56    |   74   |    15   |  145  |      21      |    19    |      0       |  25  |
| VR527619 |    30    |   73   |    38   |  141  |      25      |    11    |      0       |  24  |
| VR527181 |    50    |   73   |    15   |  138  |      21      |    19    |      0       |  24  |
| VR517646 |    64    |   54   |    15   |  133  |      19      |    9     |      0       |  23  |
| VR518275 |    50    |   79   |    0    |  129  |      22      |    20    |      0       |  22  |
| VR519716 |    52    |   34   |    0    |   86  |      9       |    8     |      0       |  15  |
| VR487734 |    66    |   5    |    15   |   86  |      11      |    10    |      0       |  15  |
| VR525865 |    66    |   7    |    0    |   73  |      11      |    10    |      0       |  13  |
| VR519814 |    66    |   6    |    0    |   72  |      11      |    10    |      0       |  13  |
| VR451169 |    66    |   0    |    0    |   66  |      11      |    10    |      0       |  12  |
| VR527312 |    60    |   0    |    0    |   60  |      10      |    9     |      0       |  11  |
| VR501256 |    0     |   3    |    0    |   3   |      0       |    0     |      0       |  1   |
| VR517636 |    0     |   0    |    0    |   0   |      0       |    0     |      0       |  0   |
+----------+----------+--------+---------+-------+--------------+----------+--------------+------+
