+----------+-----------+----------------+--------------------+---------------+-------+--------------+----------+--------------+------+
| Student  | Xmas_tree | Xmas_tree_easy | npc_3SAT_SAT_unsat | piast_no2cons | Total | voto_argento | voto_oro | voto_platino | voto |
+----------+-----------+----------------+--------------------+---------------+-------+--------------+----------+--------------+------+
| VR537570 |     90    |       60       |         0          |       77      |  227  |      33      |    33    |      26      |  33  |
| VR536965 |     90    |       60       |         0          |       54      |  204  |      31      |    28    |      26      |  33  |
| VR544523 |     90    |       60       |         0          |       30      |  180  |      31      |    28    |      26      |  33  |
| VR532858 |     65    |       60       |         0          |       52      |  177  |      27      |    12    |      11      |  33  |
| VR543266 |     90    |       60       |         0          |       13      |  163  |      31      |    28    |      26      |  33  |
| VR537091 |     12    |       60       |         0          |       90      |  162  |      31      |    28    |      26      |  33  |
| VR510616 |     90    |       60       |         0          |       0       |  150  |      31      |    28    |      26      |  33  |
| VR521636 |     90    |       60       |         0          |       0       |  150  |      31      |    28    |      26      |  33  |
| VR536632 |     90    |       60       |         0          |       0       |  150  |      31      |    28    |      26      |  33  |
| VR533920 |     0     |       60       |         0          |       90      |  150  |      31      |    28    |      26      |  33  |
| VR540965 |     90    |       60       |         0          |       0       |  150  |      31      |    28    |      26      |  33  |
| VR516026 |     90    |       60       |         0          |       0       |  150  |      31      |    28    |      26      |  33  |
| VR535197 |     90    |       60       |         0          |       0       |  150  |      31      |    28    |      26      |  33  |
| VR544092 |     90    |       60       |         0          |       0       |  150  |      31      |    28    |      26      |  33  |
| VR521170 |     60    |       60       |         0          |       30      |  150  |      26      |    12    |      11      |  33  |
| VR543451 |     90    |       60       |         0          |       0       |  150  |      31      |    28    |      26      |  33  |
| VR536752 |     90    |       60       |         0          |       0       |  150  |      31      |    28    |      26      |  33  |
| VR525916 |     90    |       60       |         0          |       0       |  150  |      31      |    28    |      26      |  33  |
| VR535036 |     90    |       60       |         0          |       0       |  150  |      31      |    28    |      26      |  33  |
| VR536900 |     90    |       60       |         0          |       0       |  150  |      31      |    28    |      26      |  33  |
| VR545815 |     90    |       60       |         0          |       0       |  150  |      31      |    28    |      26      |  33  |
| VR536608 |     90    |       60       |         0          |       0       |  150  |      31      |    28    |      26      |  33  |
| VR513300 |     90    |       60       |         0          |       0       |  150  |      31      |    28    |      26      |  33  |
| VR536161 |     90    |       60       |         0          |       0       |  150  |      31      |    28    |      26      |  33  |
| VR544148 |     30    |       60       |         0          |       42      |  132  |      13      |    12    |      11      |  30  |
| VR537024 |     0     |       60       |         0          |       41      |  101  |      13      |    12    |      11      |  23  |
| VR526656 |     0     |       60       |         0          |       37      |   97  |      13      |    12    |      11      |  22  |
| VR519798 |     0     |       60       |         0          |       36      |   96  |      13      |    12    |      11      |  22  |
| VR473444 |     0     |       60       |         0          |       0       |   60  |      13      |    12    |      11      |  14  |
+----------+-----------+----------------+--------------------+---------------+-------+--------------+----------+--------------+------+
