+----------+--------------+----------+--------------+------+
| Student  | voto_argento | voto_oro | voto_platino | voto |
+----------+--------------+----------+--------------+------+
| VR537570 |      33      |    33    |      26      |  33  |
| VR536965 |      31      |    28    |      26      |  33  |
| VR544523 |      31      |    28    |      26      |  33  |
| VR532858 |      27      |    12    |      11      |  33  |
| VR543266 |      31      |    28    |      26      |  33  |
| VR537091 |      31      |    28    |      26      |  33  |
| VR510616 |      31      |    28    |      26      |  33  |
| VR521636 |      31      |    28    |      26      |  33  |
| VR536632 |      31      |    28    |      26      |  33  |
| VR533920 |      31      |    28    |      26      |  33  |
| VR540965 |      31      |    28    |      26      |  33  |
| VR516026 |      31      |    28    |      26      |  33  |
| VR535197 |      31      |    28    |      26      |  33  |
| VR544092 |      31      |    28    |      26      |  33  |
| VR521170 |      26      |    12    |      11      |  33  |
| VR543451 |      31      |    28    |      26      |  33  |
| VR536752 |      31      |    28    |      26      |  33  |
| VR525916 |      31      |    28    |      26      |  33  |
| VR535036 |      31      |    28    |      26      |  33  |
| VR536900 |      31      |    28    |      26      |  33  |
| VR545815 |      31      |    28    |      26      |  33  |
| VR536608 |      31      |    28    |      26      |  33  |
| VR513300 |      31      |    28    |      26      |  33  |
| VR536161 |      31      |    28    |      26      |  33  |
| VR544148 |      13      |    12    |      11      |  30  |
| VR537024 |      13      |    12    |      11      |  23  |
| VR526656 |      13      |    12    |      11      |  22  |
| VR519798 |      13      |    12    |      11      |  22  |
| VR473444 |      13      |    12    |      11      |  14  |
+----------+--------------+----------+--------------+------+
