ALGORITMI: PUNTI BONUS PROGETTI 2015
matricola, bonus totale, progetto1, progetto2
id456ixi, 1, 1, 0
VR365989, 1, 1, 0
VR367531, 3, 3, 0
VR369213, 5, 2, 3
VR369215, 5, 2, 3
VR370108, 2, 2, 0
VR373713, 5, 2, 3
VR373792, 3, 3, 0
VR374456, 1, 1, 0
VR376685, 5, 2, 3
VR376761, 4, 4, 0
VR379251, 6, 3, 3
VR379383, 6, 3, 3
VR379624, 5, 2, 3
VR379952, 6, 3, 3
VR380130, 5, 2, 3
VR380376, 2, 2, 0
VR380586, 5, 2, 3
VR382213, 2, 2, 0
VR383227, 5, 2, 3
VR383558, 3, 3, 0
VR383601, 3, 3, 0
VR383978, 2, 2, 0
VR386217, 6, 3, 3
VR386459, 6, 3, 3
VR386484, 6, 4, 2
VR386593, 6, 4, 2
VR386641, 5, 2, 3
VR386687, 1, 1, 0
VR386695, 6, 4, 2
VR386945, 4, 2, 2
VR387734, 8, 4, 4
VR387750, 6, 4, 2
VR387789, 7, 3, 4
VR387906, 4, 4, 0
VR387937, 7, 3, 4
VR387955, 1, 1, 0
VR388111, 6, 3, 3
VR388474, 6, 3, 3
VR389232, 6, 3, 3
VR389759, 2, 2, 0
VR389763, 2, 2, 0
VR389924, 5, 2, 3
VR389925, 5, 2, 3
VR389926, 6, 4, 2
VR391506, 5, 2, 3
VR391827, 6, 3, 3
VR391912, 6, 3, 3
VR393787, 6, 4, 2
VR393905, 8, 4, 4

