ALGORITMI: PUNTI BONUS PROGETTI 2016
matricola,poke_stanze,harry_potter,game15,totale,Bonus = (B+1.5*C+2*D+0.5*E)/100,nota
VR365989,100.0,0.0,0.0,100,2,
VR382213,100.0,55.0,0.0,155,3,
VR383370,100.0,100.0,50.0,250,5,Aggiungi 2
VR383978,100.0,55.0,0.0,155,3,
VR387955,100.0,30.0,0.0,130,2,
VR389925,100.0,75.0,0.0,175,3,
VR389983,100.0,30.0,0.0,130,2,
VR390202,100.0,75.0,0.0,175,3,
VR397209,100.0,75.0,0.0,175,3,
VR397444,100.0,100.0,73.0,273,5,
VR397445,100.0,100.0,73.0,273,5,
VR397505,100.0,30.0,0.0,130,2,
VR397770,100.0,100.0,50.0,250,5,Aggiungi 2
VR397922,100.0,10.0,0.0,110,2,
VR398313,100.0,75.0,0.0,175,3,
VR398351,100.0,100.0,0.0,200,4,
VR398522,100.0,100.0,0.0,200,4,
VR399140,100.0,0.0,0.0,100,2,
VR399554,100.0,75.0,0.0,175,3,
VR399591,100.0,75.0,0.0,175,3,
VR399750,100.0,100.0,0.0,200,4,
VR399750,90.0,100.0,0.0,190,3,
VR399891,100.0,100.0,73.0,273,5,
VR400003,100.0,100.0,0.0,200,4,
VR400176,100.0,100.0,0.0,200,4,
VR400386,100.0,0.0,0.0,100,2,
VR401241,100.0,75.0,0.0,175,3,
VR401809,100.0,0.0,0.0,100,2,
VR401950,100.0,75.0,0.0,175,3,
VR401951,100.0,0.0,0.0,100,2,
VR401981,100.0,0.0,0.0,100,2,
VR402091,100.0,0.0,0.0,100,2,
VR402666,100.0,100.0,0.0,200,4,
VR402957,100.0,0.0,0.0,100,2,
VR403074,100.0,100.0,0.0,200,4,
VR403221,100.0,30.0,0.0,130,2,
VR403280,100.0,100.0,100.0,300,6,
VR403435,100.0,0.0,0.0,100,2,
VR403761,100.0,30.0,0.0,130,2,
VR403821,100.0,100.0,0.0,200,4,
VR403851,100.0,10.0,0.0,110,2,
VR403852,100.0,10.0,0.0,110,2,
VR403884,100.0,0.0,0.0,100,2,
VR403908,100.0,100.0,0.0,200,4,
VR404101,100.0,0.0,0.0,100,2,
VR404236,100.0,100.0,100.0,300,6,
VR404258,100.0,30.0,0.0,130,2,
VR404397,100.0,0.0,0.0,100,2,
VR404713,100.0,100.0,0.0,200,4,
VR405372,90.0,10.0,0.0,100,2,
