VOTI DI COMPLESSITA'   appello 28 Luglio 2020

matricola       voto
VR063372        25
VR450788        28
VR450489        27
VR445569        25
VR439678        24
VR433441        26
VR452297        27
VR452248        23
VR451823        26
VR436720        24
VR433300        30
VR450936        28
VR450864        28
VR450797        30
VR436823        26
VR449615        25
VR449169        21
VR445512        27
VR445435        30
VR407832        21
VR439213        24
VR439238        23
VR445263        30
VR445261        29
VR445204        29
VR439870        18
VR439666        26
VR439254        27
VR439215        20
