+----------+-------+--------------+----------+--------------+------+
| Student  | Total | voto_argento | voto_oro | voto_platino | voto |
+----------+-------+--------------+----------+--------------+------+
| VR537570 |  227  |      33      |    33    |      26      |  33  |
| VR536965 |  204  |      31      |    28    |      26      |  33  |
| VR544523 |  180  |      31      |    28    |      26      |  33  |
| VR532858 |  177  |      27      |    12    |      11      |  33  |
| VR543266 |  163  |      31      |    28    |      26      |  33  |
| VR537091 |  162  |      31      |    28    |      26      |  33  |
| VR510616 |  150  |      31      |    28    |      26      |  33  |
| VR521636 |  150  |      31      |    28    |      26      |  33  |
| VR536632 |  150  |      31      |    28    |      26      |  33  |
| VR533920 |  150  |      31      |    28    |      26      |  33  |
| VR540965 |  150  |      31      |    28    |      26      |  33  |
| VR516026 |  150  |      31      |    28    |      26      |  33  |
| VR535197 |  150  |      31      |    28    |      26      |  33  |
| VR544092 |  150  |      31      |    28    |      26      |  33  |
| VR521170 |  150  |      26      |    12    |      11      |  33  |
| VR543451 |  150  |      31      |    28    |      26      |  33  |
| VR536752 |  150  |      31      |    28    |      26      |  33  |
| VR525916 |  150  |      31      |    28    |      26      |  33  |
| VR535036 |  150  |      31      |    28    |      26      |  33  |
| VR536900 |  150  |      31      |    28    |      26      |  33  |
| VR545815 |  150  |      31      |    28    |      26      |  33  |
| VR536608 |  150  |      31      |    28    |      26      |  33  |
| VR513300 |  150  |      31      |    28    |      26      |  33  |
| VR536161 |  150  |      31      |    28    |      26      |  33  |
| VR544148 |  132  |      13      |    12    |      11      |  30  |
| VR537024 |  101  |      13      |    12    |      11      |  23  |
| VR526656 |   97  |      13      |    12    |      11      |  22  |
| VR519798 |   96  |      13      |    12    |      11      |  22  |
| VR473444 |   60  |      13      |    12    |      11      |  14  |
+----------+-------+--------------+----------+--------------+------+
