Appello di Algoritmi del 17 Settembre 2021

matricola,LIP,hanoi_with_split_merge,TOTALE,
VR439215_id718vyg,100.0,10.0,110.0,
VR439637_id088960,0.0,0.0,0.0,
VR446688_id836pkn,0.0,0.0,0.0,
VR447848_id277jjm,0.0,100.0,100.0,
VR450538_id965iel,100.0,25.0,125.0,
VR451169_id909aos,0.0,5.0,5.0,
VR451275_id420ehk,100.0,100.0,200.0,
VR452311_id060khp,0.0,10.0,10.0,
VR456749_id932fnj,0.0,0.0,0.0,
VR456970_id236bst,0.0,10.0,10.0,
VR458470_id680cdp,40.0,10.0,50.0,
VR462541_id086uaa,0.0,0.0,0.0,
VR464051_id083gfq,100.0,30.0,130.0,
VR464382_id121mof,0.0,0.0,0.0,
VR464472_id344led,0.0,0.0,0.0,
VR465317_id689rud,0.0,0.0,0.0,
VR465826_id755tsm,0.0,0.0,0.0,
